1;3999;66,71
2;3999;110,06
3;3999;111,94
4;3999;158,79
5;3999;259,72
6;4916;271
7;4974;396,98
8;4998;518,95
9;4998;445,02
10;4998;604,73
11;4998;747,9
12;5997;1340,54
13;12964;1469
14;12964;1095,56
15;14998;1612,05
16;14998;1756,38
17;14998;1683,04
18;15997;2056
19;17997;2566,1
20;17997;2901,8
21;19993;3885,79
22;19993;4730,38
23;27998;4787,68
24;27998;4879,65
25;27998;4957,65
26;27998;4500,42
27;27998;4189,59
28;27998;4759,4
29;27998;4810,48
30;27998;5430,12
31;27998;4510,1
32;27998;5461,25
33;27998;4882,12
34;27998;5401,11
35;27998;4870,47
36;27998;4482,25
37;32998;5870,59
38;32998;6041,35
39;32998;5450,21
40;32998;6219,75
41;32998;5189,42
42;32998;5567,57
43;32998;5320,31
44;32998;5462,18
45;32998;4979,1
46;32998;5142,58
47;32998;5262,27
48;32998;7131,43
49;32998;5709,45
50;32998;6459,22
